BLKID	POPN_TOTAL	POPN_WHITE	POPN_BLACK	POPN_NATIV	POPN_ASIAN	POPN_OTHER	BORONAME
"360850059002000"	"197"	"168"	"9"	"0"	"6"	"14"	Staten Island
"360850096012000"	"33"	"21"	"0"	"0"	"11"	"1"	Staten Island
"360850114012000"	"65"	"64"	"0"	"0"	"1"	"0"	Staten Island
"360850128042000"	"104"	"80"	"3"	"0"	"0"	"21"	Staten Island
"360850132042000"	"25"	"24"	"0"	"0"	"1"	"0"	Staten Island
"360850146042000"	"36"	"33"	"0"	"0"	"0"	"3"	Staten Island
"360850146072000"	"26"	"17"	"0"	"0"	"0"	"9"	Staten Island
"360850146082000"	"76"	"60"	"1"	"0"	"7"	"8"	Staten Island
"360850151002000"	"84"	"74"	"0"	"0"	"7"	"3"	Staten Island
"360850156012000"	"75"	"72"	"0"	"0"	"3"	"0"	Staten Island
"360850170052000"	"112"	"104"	"1"	"0"	"2"	"5"	Staten Island
"360850176002000"	"20"	"20"	"0"	"0"	"0"	"0"	Staten Island
"360850177002000"	"182"	"133"	"4"	"0"	"24"	"21"	Staten Island
"360850208042000"	"87"	"75"	"8"	"0"	"0"	"4"	Staten Island
"360850213002000"	"32"	"22"	"4"	"0"	"0"	"6"	Staten Island
"360850273022000"	"153"	"153"	"0"	"0"	"0"	"0"	Staten Island
"360850277052000"	"158"	"133"	"0"	"0"	"25"	"0"	Staten Island
"360850008002001"	"92"	"71"	"12"	"0"	"0"	"9"	Staten Island
"360850009002001"	"194"	"39"	"117"	"1"	"2"	"35"	Staten Island
"360850020012001"	"252"	"191"	"7"	"0"	"34"	"20"	Staten Island
"360850096012001"	"181"	"142"	"5"	"0"	"24"	"10"	Staten Island
"360850105002001"	"124"	"83"	"14"	"0"	"0"	"27"	Staten Island
