OBJECTID	ID	NAME	ALT_NAME	CROSS_ST	LONG_NAME	LABEL	BOROUGH	NGHBHD	ROUTES	TRANSFERS	COLOR	EXPRESS	CLOSED
148	325.0000000000	Cypress Hills		Jamaica Ave	Cypress Hills (J) Brooklyn	Cypress Hills (J)	Brooklyn		J	J	BROWN		
149	451.0000000000	DeKalb Ave		Wyckoff Ave	DeKalb Ave (L) Brooklyn	DeKalb Ave (L)	Brooklyn		L	L	GREY		
150	382.0000000000	DeKalb Ave		Flatbush Ave	"DeKalb Ave (B,M,Q,R) Brooklyn"	"DeKalb Ave (B,M,Q,R)"	Brooklyn		"B,M,Q,R"	"B,M,Q,R"	MULTI	express	
151	347.0000000000	Ditmas Ave		McDonald Ave	Ditmas Ave (F) Brooklyn	Ditmas Ave (F)	Brooklyn		F	F	ORANGE		
152	461.0000000000	E 105th St		Turnbull Ave	E 105th St (L) Brooklyn	E 105th St (L)	Brooklyn		L	L	GREY		
153	80.0000000000	Eastern Pky	Brooklyn Museum	Washington Ave	"Eastern Pky / Brooklyn Museum (2,3) Brooklyn"	"Eastern Pky / Brooklyn Museum (2,3)"	Brooklyn		"2,3"	"2,3"	RED-GREEN		
154	234.0000000000	Euclid Ave		Pitkin Ave	"Euclid Ave (A,C) Brooklyn"	"Euclid Ave (A,C)"	Brooklyn		"A,C"	"A,C"	BLUE	express	
155	98.0000000000	Flatbush Ave	Brooklyn College	Nostrand Ave	"Flatbush Ave / Brooklyn College (2,5) Brooklyn"	"Flatbush Ave / Brooklyn College (2,5)"	Brooklyn		"2,5"	"2,5"	RED-GREEN		
156	313.0000000000	Flushing Ave		Broadway	"Flushing Ave (J,M) Brooklyn"	"Flushing Ave (J,M)"	Brooklyn		"J,M"	"J,M"	BROWN		
157	284.0000000000	Flushing Ave		Marcy Ave	Flushing Ave (G) Brooklyn	Flushing Ave (G)	Brooklyn		G	G	LIME		
158	345.0000000000	Fort Hamilton Pky		Prospect Ave	Fort Hamilton Pky (F) Brooklyn	Fort Hamilton Pky (F)	Brooklyn		F	F	ORANGE		
159	224.0000000000	Franklin Ave		Fulton St	Franklin Ave (C) Brooklyn	Franklin Ave (C)	Brooklyn		C	"C,S"	BLUE		
160	438.0000000000	Franklin Ave		Fulton St	Franklin Ave (S) Brooklyn	Franklin Ave (S)	Brooklyn		S	"C,S"	GREY		
161	81.0000000000	Franklin Ave		Eastern Pky	"Franklin Ave (2,3,4,5) Brooklyn"	"Franklin Ave (2,3,4,5)"	Brooklyn		"2,3,4,5"	"S,2,3,4,5"	GREEN-RED	express	
162	428.0000000000	Ft Hamilton Pky		62nd St	Ft Hamilton Pky (N) Brooklyn	Ft Hamilton Pky (N)	Brooklyn		N	N	YELLOW		
163	416.0000000000	Ft Hamilton Pky		New Utrecht Ave	"Ft Hamilton Pky (D,M) Brooklyn"	"Ft Hamilton Pky (D,M)"	Brooklyn		"D,M"	"D,M"	BROWN-ORANGE		
164	279.0000000000	Fulton St		Lafayette Ave	Fulton St (G) Brooklyn	Fulton St (G)	Brooklyn		G	G	LIME		
165	316.0000000000	Gates St		Broadway	"Gates St (J,Z) Brooklyn"	"Gates St (J,Z)"	Brooklyn		"J,Z"	"J,Z"	BROWN		
166	446.0000000000	Graham Ave		Metropolitan Ave	Graham Ave (L) Brooklyn	Graham Ave (L)	Brooklyn		L	L	GREY		
167	79.0000000000	Grand Army Plz		Flatbush Ave	"Grand Army Plz (2,3) Brooklyn"	"Grand Army Plz (2,3)"	Brooklyn		"2,3"	"2,3"	RED-GREEN		
168	447.0000000000	Grand St		Bushwick Ave	Grand St (L) Brooklyn	Grand St (L)	Brooklyn		L	L	GREY		
169	235.0000000000	Grant Ave		Pitkin Ave	Grant Ave (A) Brooklyn	Grant Ave (A)	Brooklyn		A	A	BLUE		
