OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"165",Prefecture-level city,Rongcheng District,Jieyang,揭阳市,CN044080,Guangdong Province,广东省,CN044,China,中国,CN
"166",Prefecture-level city,Jinping District,Shantou,汕头市,CN044120,Guangdong Province,广东省,CN044,China,中国,CN
"167",Prefecture-level city,Xiangqiao District,Chaozhou,潮州市,CN044010,Guangdong Province,广东省,CN044,China,中国,CN
"168",Prefecture-level city,Meijiang District,Meizhou,梅州市,CN044100,Guangdong Province,广东省,CN044,China,中国,CN
"169",Prefecture-level city,Xiangcheng District,Zhangzhou,漳州市,CN035090,Fujian Province,福建省,CN035,China,中国,CN
"170",Prefecture-level city,Siming District,Xiamen,厦门市,CN035080,Fujian Province,福建省,CN035,China,中国,CN
"171",Prefecture-level city,Xinluo District,Longyan,龙岩市,CN035020,Fujian Province,福建省,CN035,China,中国,CN
"172",Prefecture-level city,Fengze District,Quanzhou,泉州市,CN035060,Fujian Province,福建省,CN035,China,中国,CN
"173",Prefecture-level city,Chengxiang District,Putian,莆田市,CN035050,Fujian Province,福建省,CN035,China,中国,CN
"174",Prefecture-level city,Gulou District,Fuzhou,福州市,CN035010,Fujian Province,福建省,CN035,China,中国,CN
"175",Prefecture-level city,Meilie District,Sanming,三明市,CN035070,Fujian Province,福建省,CN035,China,中国,CN
"176",Prefecture-level city,Yanping District,Nanping,南平市,CN035030,Fujian Province,福建省,CN035,China,中国,CN
"177",Prefecture-level city,Linchuan District,Fuzhou,抚州市,CN036010,Jiangxi Province,江西省,CN036,China,中国,CN
"178",Prefecture-level city,Yuehu District,Yingtan,鹰潭市,CN036110,Jiangxi Province,江西省,CN036,China,中国,CN
"179",Prefecture-level city,Jizhou District,Ji'an,吉安市,CN036030,Jiangxi Province,江西省,CN036,China,中国,CN
"180",Prefecture-level city,Zhanggong District,Ganzhou,赣州市,CN036020,Jiangxi Province,江西省,CN036,China,中国,CN
"181",Prefecture-level city,Beihu District,Chenzhou,郴州市,CN043030,Hunan Province,湖南省,CN043,China,中国,CN
"182",Prefecture-level city,Yushui District,Xinyu,新余市,CN036090,Jiangxi Province,江西省,CN036,China,中国,CN
"183",Prefecture-level city,Yuanzhou District,Yichun,宜春市,CN036100,Jiangxi Province,江西省,CN036,China,中国,CN
